crim,rm,age,dis,tax,ptratio,lstat,medv
38.35180,5.4530,100.00,1.4896,666.0,20.20,30.59,5.00
9.91655,5.8520,77.80,1.5004,666.0,20.20,29.97,6.30
25.04610,5.9870,100.00,1.5888,666.0,20.20,26.77,5.60
14.23620,6.3430,100.00,1.5741,666.0,20.20,20.32,7.20
9.59571,6.4040,100.00,1.6390,666.0,20.20,20.31,12.10
24.80170,5.3490,96.00,1.7028,666.0,20.20,19.77,8.30
41.52920,5.5310,85.40,1.6074,666.0,20.20,27.38,8.50
67.92080,5.6830,100.00,1.4254,666.0,20.20,22.98,5.00
20.71620,4.1380,100.00,1.1781,666.0,20.20,23.34,11.90
11.95110,5.6080,100.00,1.2852,666.0,20.20,12.13,27.90
7.40389,5.6170,97.90,1.4547,666.0,20.20,26.40,17.20
14.43830,6.8520,100.00,1.4655,666.0,20.20,19.78,27.50
51.13580,5.7570,100.00,1.4130,666.0,20.20,10.11,15.00
14.05070,6.6570,100.00,1.5275,666.0,20.20,21.22,17.20
18.81100,4.6280,100.00,1.5539,666.0,20.20,34.37,17.90
28.65580,5.1550,100.00,1.5894,666.0,20.20,20.08,16.30
45.74610,4.5190,100.00,1.6582,666.0,20.20,36.98,7.00
18.08460,6.4340,100.00,1.8347,666.0,20.20,29.05,7.20
10.83420,6.7820,90.80,1.8195,666.0,20.20,25.79,7.50
25.94060,5.3040,89.10,1.6475,666.0,20.20,26.64,10.40
73.53410,5.9570,100.00,1.8026,666.0,20.20,20.62,8.80
11.81230,6.8240,76.50,1.7940,666.0,20.20,22.74,8.40
11.08740,6.4110,100.00,1.8589,666.0,20.20,15.02,16.70
7.02259,6.0060,95.30,1.8746,666.0,20.20,15.70,14.20
12.04820,5.6480,87.60,1.9512,666.0,20.20,14.10,20.80
7.05042,6.1030,85.10,2.0218,666.0,20.20,23.29,13.40
8.79212,5.5650,70.60,2.0635,666.0,20.20,17.16,11.70
15.86030,5.8960,95.40,1.9096,666.0,20.20,24.39,8.30
12.24720,5.8370,59.70,1.9976,666.0,20.20,15.69,10.20
37.66190,6.2020,78.70,1.8629,666.0,20.20,14.52,10.90
7.36711,6.1930,78.10,1.9356,666.0,20.20,21.52,11.00
9.33889,6.3800,95.60,1.9682,666.0,20.20,24.08,9.50
8.49213,6.3480,86.10,2.0527,666.0,20.20,17.64,14.50
10.06230,6.8330,94.30,2.0882,666.0,20.20,19.69,14.10
6.44405,6.4250,74.80,2.2004,666.0,20.20,12.03,16.10
5.58107,6.4360,87.90,2.3158,666.0,20.20,16.22,14.30
13.91340,6.2080,95.00,2.2222,666.0,20.20,15.17,11.70
11.16040,6.6290,94.60,2.1247,666.0,20.20,23.27,13.40
14.42080,6.4610,93.30,2.0026,666.0,20.20,18.05,9.60
15.17720,6.1520,100.00,1.9142,666.0,20.20,26.45,8.70
13.67810,5.9350,87.90,1.8206,666.0,20.20,34.02,8.40
9.39063,5.6270,93.90,1.8172,666.0,20.20,22.88,12.80
22.05110,5.8180,92.40,1.8662,666.0,20.20,22.11,10.50
9.72418,6.4060,97.20,2.0651,666.0,20.20,19.52,17.10
5.66637,6.2190,100.00,2.0048,666.0,20.20,16.59,18.40
9.96654,6.4850,100.00,1.9784,666.0,20.20,18.85,15.40
12.80230,5.8540,96.60,1.8956,666.0,20.20,23.79,10.80
10.67180,6.4590,94.80,1.9879,666.0,20.20,23.98,11.80
6.28807,6.3410,96.40,2.0720,666.0,20.20,17.79,14.90
9.92485,6.2510,96.60,2.1980,666.0,20.20,16.44,12.60
9.32909,6.1850,98.70,2.2616,666.0,20.20,18.13,14.10
7.52601,6.4170,98.30,2.1850,666.0,20.20,19.31,13.00
6.71772,6.7490,92.60,2.3236,666.0,20.20,17.44,13.40
5.44114,6.6550,98.20,2.3552,666.0,20.20,17.73,15.20
5.09017,6.2970,91.80,2.3682,666.0,20.20,17.27,16.10
8.24809,7.3930,99.30,2.4527,666.0,20.20,16.74,17.80
9.51363,6.7280,94.10,2.4961,666.0,20.20,18.71,14.90
4.75237,6.5250,86.50,2.4358,666.0,20.20,18.13,14.10
4.66883,5.9760,87.90,2.5806,666.0,20.20,19.01,12.70
8.20058,5.9360,80.30,2.7792,666.0,20.20,16.94,13.50
7.75223,6.3010,83.70,2.7831,666.0,20.20,16.23,14.90
6.80117,6.0810,84.40,2.7175,666.0,20.20,14.70,20.00
4.81213,6.7010,90.00,2.5975,666.0,20.20,16.42,16.40
3.69311,6.3760,88.40,2.5671,666.0,20.20,14.65,17.70
6.65492,6.3170,83.00,2.7344,666.0,20.20,13.99,19.50
5.82115,6.5130,89.90,2.8016,666.0,20.20,10.29,20.20
7.83932,6.2090,65.40,2.9634,666.0,20.20,13.22,21.40
3.16360,5.7590,48.20,3.0665,666.0,20.20,14.13,19.90
3.77498,5.9520,84.70,2.8715,666.0,20.20,17.15,19.00
4.42228,6.0030,94.50,2.5403,666.0,20.20,21.32,19.10
15.57570,5.9260,71.00,2.9084,666.0,20.20,18.13,19.10
13.07510,5.7130,56.70,2.8237,666.0,20.20,14.76,20.10
4.34879,6.1670,84.00,3.0334,666.0,20.20,16.29,19.90
4.03841,6.2290,90.70,3.0993,666.0,20.20,12.87,19.60
3.56868,6.4370,75.00,2.8965,666.0,20.20,14.36,23.20
4.64689,6.9800,67.60,2.5329,666.0,20.20,11.66,29.80
8.05579,5.4270,95.40,2.4298,666.0,20.20,18.14,13.80
6.39312,6.1620,97.40,2.2060,666.0,20.20,24.10,13.30
4.87141,6.4840,93.60,2.3053,666.0,20.20,18.68,16.70
15.02340,5.3040,97.30,2.1007,666.0,20.20,24.91,12.00
10.23300,6.1850,96.70,2.1705,666.0,20.20,18.03,14.60
14.33370,6.2290,88.00,1.9512,666.0,20.20,13.11,21.40
5.82401,6.2420,64.70,3.4242,666.0,20.20,10.74,23.00
5.70818,6.7500,74.90,3.3317,666.0,20.20,7.74,23.70
5.73116,7.0610,77.00,3.4106,666.0,20.20,7.01,25.00
2.81838,5.7620,40.30,4.0983,666.0,20.20,10.42,21.80
2.37857,5.8710,41.90,3.7240,666.0,20.20,13.34,20.60
3.67367,6.3120,51.90,3.9917,666.0,20.20,10.58,21.20
5.69175,6.1140,79.80,3.5459,666.0,20.20,14.98,19.10
4.83567,5.9050,53.20,3.1523,666.0,20.20,11.45,20.60
0.15086,5.4540,92.70,1.8209,711.0,20.10,18.06,15.20
0.18337,5.4140,98.30,1.7554,711.0,20.10,23.97,7.00
0.20746,5.0930,98.00,1.8226,711.0,20.10,29.68,8.10
0.10574,5.9830,98.80,1.8681,711.0,20.10,18.07,13.60
0.11132,5.9830,83.50,2.1099,711.0,20.10,13.35,20.10
0.17331,5.7070,54.00,2.3817,391.0,19.20,12.01,21.80
0.27957,5.9260,42.60,2.3817,391.0,19.20,13.59,24.50
0.17899,5.6700,28.80,2.7986,391.0,19.20,17.60,23.10
0.28960,5.3900,72.90,2.7986,391.0,19.20,21.14,19.70
0.26838,5.7940,70.60,2.8927,391.0,19.20,14.10,18.30
0.23912,6.0190,65.30,2.4091,391.0,19.20,12.92,21.20
0.17783,5.5690,73.50,2.3999,391.0,19.20,15.10,17.50
0.22438,6.0270,79.70,2.4982,391.0,19.20,14.33,16.80
0.06263,6.5930,69.10,2.4786,273.0,21.00,9.67,22.40
0.04527,6.1200,76.70,2.2875,273.0,21.00,9.08,20.60
0.06076,6.9760,91.00,2.1675,273.0,21.00,5.64,23.90
0.10959,6.7940,89.30,2.3889,273.0,21.00,6.48,22.00
0.04741,6.0300,80.80,2.5050,273.0,21.00,7.88,11.90
